seg seg cht_mean slope_mean relief_mean Lh_mean
0 0 -0.0216362956522 0.187513113043 5.437174 29.4297269565
1 1 -0.0682512366071 0.224300571429 5.18696705357 23.4203379464
2 2 -0.0404404793388 0.203218214876 3.52594909091 16.9158504132
3 3 -0.0562183027523 0.19562153211 6.76333082569 35.1616954128
4 4 -0.0882069493671 0.26769692827 5.26616548523 20.5832831224
5 5 -0.0597574058577 0.344767138075 5.76064359833 16.5410656904
6 6 -0.0325398461538 0.282812164835 9.69276637363 35.7395318681
7 7 -0.0901377428571 0.323940489796 6.10460889796 18.7171722449
8 8 -0.107578993007 0.350627853147 7.86228643357 23.0862174825
9 9 -0.151770789474 0.379445078947 7.03753013158 18.2288776316
10 10 -0.0768935 0.336929745283 7.45720207547 21.6809886792
11 11 -0.024541755102 0.312352612245 11.3272281633 35.7594387755
12 12 -0.0667021153846 0.243158198718 5.60650711538 23.8017487179
13 13 -0.0896260714286 0.282719478992 6.19453432773 22.0583176471
14 14 -0.140195100437 0.370601572052 5.777039869 15.2657048035
15 15 -0.099593712766 0.338377510638 7.190585 21.7110292553
16 16 -0.100091215962 0.401646694836 7.70739887324 18.991028169
17 17 -0.0469722164179 0.38187688806 9.98796992537 25.7525858209
18 18 -0.0739023369565 0.382680271739 8.09901456522 21.4393880435
19 19 -0.0496369414226 0.279335794979 5.43118606695 18.9923334728
20 20 -0.042118646789 0.160872022936 4.90887724771 30.9590256881
21 21 -0.0583435941423 0.259042430962 5.64098041841 22.1041619247
22 22 -0.0409275255814 0.327870069767 9.15668706977 27.828195814
23 23 -0.0958042510288 0.356891938272 7.24446152263 20.1567308642
24 24 -0.0997174225941 0.272981623431 6.10462991632 22.5065560669
25 25 -0.0319657729469 0.286665400966 8.27886613527 28.6488270531
26 26 -0.042477103139 0.259439914798 13.2444403587 52.0644578475
27 27 -0.0511743235294 0.184770623529 6.47621988235 35.3013470588
28 28 -0.0552902961373 0.26105804721 5.27806309013 20.0176077253
29 29 -0.0732023108108 0.309777675676 9.93498157658 32.8090346847
30 30 -0.0488885063291 0.33881556962 13.9763698734 43.3977582278
31 31 -0.071400784 0.374439216 13.9398952 36.7210488
32 32 -0.046661017094 0.235635589744 3.56150042735 14.6795790598
33 33 -0.0578772384937 0.299948041841 4.9354876569 16.3527820084
34 34 -0.0391802647059 0.346442470588 8.98991357143 26.0804302521
35 35 -0.0395283371429 0.357262965714 12.2821794286 34.118896
36 36 -0.03426581893 0.21170327572 12.8714654321 60.6909156379
37 37 -0.0174091128205 0.224188461538 10.173740359 45.16572
38 38 -0.0464673865546 0.28711292437 7.63610260504 26.954837395
39 39 -0.0625208086124 0.294313354067 10.3199044019 38.7845526316
40 40 -0.0397110726496 0.376416602564 12.3729118376 32.5649405983
41 41 -0.0281501729958 0.279616303797 14.3263160338 53.0493873418
42 42 -0.0440060874317 0.271876229508 16.0720721311 59.9690021858
43 43 -0.0697333626374 0.204596258242 4.81381175824 23.3764495604
44 44 -0.0856273146552 0.301275693966 6.6062737931 22.0373612069
45 45 -0.0726045945946 0.245607740541 7.62822486486 33.8398816216
46 46 -0.0981492194093 0.30667121519 11.8190883122 40.257243038
47 47 -0.153195029412 0.478135693277 10.2803318908 21.3414852941
48 48 -0.0524955590909 0.198561359091 6.51631031818 35.8333281364
49 49 -0.0547786486486 0.287301265766 10.1218324324 37.2012774775
50 50 -0.112090382353 0.374185058824 11.155112521 30.6104785714
51 51 -0.0658657699115 0.428767044248 12.6376119027 29.0759336283
52 52 -0.113319497653 0.513604079812 12.8912403756 25.4019352113
53 53 -0.0701003300971 0.450803708738 13.3853456311 29.5048174757
54 54 -0.0204030942029 0.468916992754 21.7539992754 46.0953289855
55 55 -0.0808817820513 0.560636529915 14.0322388889 25.1362491453
56 56 -0.0407855518868 0.554058919811 15.2434981132 27.4083466981
57 57 -0.0755258429752 0.550869619835 14.3287595041 25.8874264463
58 58 0.0 0.0 0.0 0.0
59 59 -0.0836766153846 0.509537661538 16.0213323077 31.9677112821
60 60 -0.148199296703 0.621731604396 15.3763604396 24.3926384615
