Length Cht Slope R Lh NEAR_DIST 
30.00000 -0.10800 0.63000 16.30000 25.90000 1243.16886 
30.00000 -0.12200 0.55500 17.00000 30.60000 1257.53763 
21.85000 -0.22900 0.60900 17.40000 29.20000 1370.51947 
30.00000 -0.34400 0.68200 12.60000 18.20000 1369.75514 
30.00000 -0.27100 0.61700 8.81000 13.60000 1367.11300 
27.65000 -0.07080 0.57200 16.30000 28.30000 1369.71487 
30.00000 -0.08990 0.64600 15.80000 24.00000 1200.76173 
10.15000 -0.31300 0.58000 14.90000 25.60000 1195.49574 
19.85000 -0.24900 0.59000 12.30000 20.60000 1432.56906 
30.00000 -0.27300 0.60400 12.70000 20.90000 1434.86828 
27.65000 -0.33100 0.69800 12.40000 17.40000 1478.94436 
30.00000 -0.35000 0.64900 11.40000 16.70000 1476.96515 
30.00000 -0.07140 0.52700 22.00000 40.70000 1476.80078 
29.15000 -0.05860 0.60600 20.70000 34.10000 1305.82220 
30.00000 -0.15100 0.61800 20.70000 33.30000 1305.30463 
30.00000 -0.17400 0.66500 23.30000 35.10000 1293.60740 
30.00000 -0.18600 0.62700 21.20000 34.10000 1287.68110 
25.85000 -0.22900 0.65600 21.70000 33.00000 1287.71362 
30.00000 -0.27500 0.64300 15.00000 23.30000 1441.31833 
23.65000 -0.42100 0.68700 14.60000 21.10000 1460.59674 
30.00000 -0.38400 0.71100 13.90000 19.50000 1558.62105 
30.00000 -0.30300 0.68500 14.60000 21.00000 1568.23079 
30.00000 -0.24700 0.69200 18.60000 26.40000 1574.82285 
30.00000 -0.22200 0.70400 21.30000 29.90000 1589.48369 
30.00000 -0.21000 0.68500 22.30000 32.30000 1608.33011 
30.00000 -0.14200 0.69300 21.20000 30.50000 1620.39630 
30.00000 -0.14500 0.69900 22.00000 31.30000 1621.42988 
30.00000 -0.17700 0.48000 10.90000 23.40000 1621.61528 
27.60000 -0.15900 0.52200 12.10000 23.20000 1612.95111 
30.00000 -0.35500 0.66800 15.80000 23.40000 1611.82435 
27.40000 -0.24900 0.64000 17.70000 27.50000 1611.80710 
25.70000 -0.18600 0.58900 14.50000 24.40000 1617.53086 
30.00000 -0.09410 0.53700 13.10000 24.00000 1660.60442 
26.00000 -0.16000 0.64400 18.70000 28.60000 1437.37657 
30.00000 -0.19000 0.65600 21.80000 32.80000 1428.96873 
30.00000 -0.22800 0.65800 18.60000 27.50000 1416.63109 
30.00000 -0.21700 0.66100 11.30000 16.60000 1398.60571 
21.57000 -0.27800 0.68100 15.40000 22.30000 1384.04330 
27.97000 -0.18500 0.48500 12.10000 24.40000 1544.67401 
30.00000 -0.34500 0.69800 19.20000 26.40000 1691.40520 
26.53000 -0.21500 0.65300 17.70000 25.40000 1671.54310 
11.27000 -0.04950 0.41000 22.70000 55.40000 1671.74086 
18.73000 -0.29500 0.63400 15.20000 23.90000 1771.16569 
30.00000 -0.25400 0.59500 15.60000 26.50000 1774.05193 
30.00000 -0.12300 0.42800 12.60000 28.90000 1792.00067 
19.73000 -0.13800 0.62300 16.50000 25.90000 1519.41472 
30.00000 -0.13500 0.64600 24.10000 38.10000 1510.01986 
30.00000 -0.06610 0.58100 24.20000 41.80000 1501.00615 
11.17000 -0.23400 0.73000 25.40000 34.80000 1498.05406 
18.83000 -0.27000 0.74200 25.30000 34.00000 1666.45597 
30.00000 -0.44100 0.70700 21.40000 29.00000 1670.08352 
30.00000 -0.20400 0.62600 18.80000 28.20000 1680.23034 
10.77000 -0.22500 0.50000 13.30000 27.20000 1689.59595 
19.23000 -0.29300 0.58700 10.20000 17.20000 1832.31777 
30.00000 -0.29800 0.58700 7.94000 13.20000 1839.17328 
30.00000 -0.25000 0.51100 12.50000 24.40000 1850.40976 
24.53000 -0.17500 0.50400 10.30000 20.20000 1879.15424 
30.00000 -0.16000 0.56100 16.20000 28.30000 1878.95667 
30.00000 -0.28900 0.67500 19.80000 28.70000 1880.46009 
25.83000 -0.44300 0.73600 19.80000 26.10000 1814.93583 
30.00000 -0.45400 0.71900 16.70000 22.10000 1823.73974 
30.00000 -0.11100 0.39300 10.20000 25.90000 1827.84420 
21.03000 -0.21300 0.46100 12.20000 26.90000 1945.05129 
30.00000 -0.12600 0.36500 13.70000 37.30000 1947.02694 
16.77000 -0.28700 0.70600 23.10000 32.80000 1950.10985 
13.23000 -0.45500 0.77500 22.90000 29.50000 1879.76266 
30.00000 -0.49100 0.78700 24.90000 31.50000 1880.96368 
30.00000 -0.52500 0.79200 24.50000 30.70000 1882.44958 
30.00000 -0.53400 0.74700 17.50000 22.90000 1882.85246 
30.00000 -0.36200 0.70000 20.80000 28.00000 1882.59293 
28.53000 -0.29200 0.70700 24.00000 32.50000 1807.71695 
12.67000 -0.15900 0.46500 17.20000 37.30000 1807.72732 
17.33000 -0.12100 0.56300 17.60000 31.70000 1949.79203 
30.00000 -0.20000 0.58200 20.80000 34.90000 1954.99707 
30.00000 -0.15300 0.63100 25.90000 40.40000 1966.32035 
12.87000 -0.29100 0.76100 32.50000 42.40000 1964.75101 
17.13000 -0.31200 0.74300 30.00000 39.80000 1803.88505 
30.00000 -0.14300 0.65500 24.50000 36.80000 1805.27959 
30.00000 -0.07710 0.59500 16.90000 28.20000 1812.36202 
14.67000 -0.16900 0.14400 2.88000 6.17000 1819.12901 
15.33000 -0.17300 0.45600 10.80000 23.20000 2034.89089 
30.00000 -0.29300 0.50400 7.74000 15.20000 2039.77772 
30.00000 -0.42800 0.53700 6.36000 10.90000 2056.55517 
16.77000 -0.25700 0.65600 28.20000 42.80000 2076.56259 
13.23000 -0.43100 0.74600 30.40000 40.80000 1956.21138 
30.00000 -0.46500 0.74300 28.60000 38.20000 1954.81917 
30.00000 -0.44400 0.75800 29.30000 38.20000 1954.89985 
30.00000 -0.45200 0.78600 28.20000 35.50000 1955.57961 
30.00000 -0.36100 0.77700 21.70000 27.80000 1954.80351 
30.00000 -0.17500 0.69200 15.40000 22.00000 1952.68101 
10.17000 -0.21400 0.53300 7.04000 12.90000 1953.36380 
19.83000 -0.26500 0.65700 12.80000 19.00000 1898.90180 
30.00000 -0.19600 0.70000 18.60000 26.50000 1891.11546 
30.00000 -0.11500 0.70100 29.50000 41.90000 1882.74026 
16.57000 -0.15800 0.37400 11.60000 30.70000 1880.38240 
13.43000 -0.12200 0.43000 16.10000 37.30000 2215.56426 
30.00000 -0.20500 0.49800 16.30000 32.90000 2219.75759 
30.00000 -0.25900 0.62800 18.20000 28.90000 2231.10272 
30.00000 -0.28600 0.67400 21.20000 31.30000 2249.36179 
30.00000 -0.32700 0.67700 26.90000 39.70000 2267.41561 
30.00000 -0.35000 0.68400 26.60000 38.80000 2286.54101 
30.00000 -0.28800 0.68500 26.40000 39.20000 2291.73668 
30.00000 -0.33600 0.72600 29.10000 40.60000 2294.49399 
30.00000 -0.31000 0.78200 23.70000 30.70000 2298.89709 
30.00000 -0.30600 0.75300 29.60000 39.70000 2301.20638 
30.00000 -0.27600 0.74400 29.30000 38.60000 2301.82246 
30.00000 -0.17500 0.70400 24.60000 34.40000 2301.95649 
30.00000 -0.19600 0.65100 14.60000 21.50000 2296.05060 
30.00000 -0.15600 0.57200 11.80000 20.10000 2290.68925 
19.87000 -0.28700 0.64400 19.90000 30.80000 2290.55566 
10.13000 -0.44400 0.65900 18.10000 27.00000 2153.90504 
30.00000 -0.40700 0.63000 9.27000 13.60000 2160.37249 
24.47000 -0.12500 0.35600 9.63000 27.70000 2175.39949 
30.00000 -0.11500 0.43100 11.20000 26.30000 2266.84341 
20.77000 -0.38200 0.72200 17.60000 23.20000 2261.72076 
30.00000 -0.32100 0.63700 13.10000 18.90000 2117.62958 
30.00000 -0.18400 0.54600 14.50000 23.80000 2120.71510 
12.47000 -0.19000 0.15200 2.78000 6.50000 2122.76425 
17.53000 -0.15900 0.43500 11.00000 24.90000 2314.86472 
30.00000 -0.13400 0.51000 19.30000 35.20000 2308.55010 
23.53000 -0.30300 0.73000 26.10000 35.20000 2116.99161 
30.00000 -0.10800 0.35400 8.33000 23.40000 2120.78443 
23.63000 -0.19200 0.46600 9.08000 19.40000 2493.06810 
30.00000 -0.35600 0.51000 9.64000 18.70000 2493.29371 
30.00000 -0.18500 0.52200 13.10000 25.10000 2498.63136 
30.00000 -0.25600 0.57200 16.30000 28.60000 2506.02346 
30.00000 -0.46600 0.56100 17.10000 30.60000 2510.56946 
30.00000 -0.42600 0.57800 19.00000 32.60000 2517.59007 
30.00000 -0.45700 0.63900 21.20000 32.80000 2521.72200 
30.00000 -0.43400 0.64900 23.40000 35.90000 2526.63351 
30.00000 -0.39100 0.67500 24.30000 36.40000 2530.02132 
30.00000 -0.25000 0.71200 24.50000 34.10000 2533.44605 
30.00000 -0.29800 0.74300 23.70000 31.20000 2522.84562 
30.00000 -0.33500 0.74800 23.10000 30.40000 2517.26431 
30.00000 -0.44000 0.78200 28.40000 35.90000 2515.38262 
20.57000 -0.12100 0.65700 24.60000 37.10000 2514.06736 
30.00000 -0.20800 0.61600 22.70000 33.60000 2230.21764 
30.00000 -0.25300 0.68000 26.20000 36.90000 2234.50043 
30.00000 -0.16300 0.65300 25.60000 39.20000 2226.39715 
18.57000 -0.15700 0.59200 24.20000 40.60000 2221.22605 
11.43000 -0.09740 0.60400 27.30000 45.10000 2432.50650 
25.77000 -0.26000 0.64000 31.80000 50.30000 2432.69211 
30.00000 -0.32200 0.67600 34.90000 51.50000 2429.34190 
30.00000 -0.41100 0.71500 31.70000 44.50000 2433.95786 
30.00000 -0.39900 0.74700 23.30000 31.00000 2439.77003 
30.00000 -0.35600 0.63400 15.60000 24.20000 2441.05112 
22.33000 -0.15300 0.59100 17.50000 29.60000 2594.38380 
30.00000 -0.21400 0.57400 26.90000 46.90000 2599.21692 
30.00000 -0.29800 0.67400 20.40000 30.40000 2602.13269 
30.00000 -0.21500 0.65200 25.80000 39.40000 2614.98154 
30.00000 -0.19800 0.68900 30.20000 43.70000 2618.48537 
30.00000 -0.19100 0.70600 27.80000 39.10000 2621.63550 
30.00000 -0.08790 0.67400 29.50000 44.00000 2623.30211 
30.00000 -0.08010 0.65200 30.10000 45.90000 2623.23089 
30.00000 -0.14700 0.66500 29.40000 43.90000 2620.14798 
30.00000 -0.27100 0.71300 23.30000 31.90000 2620.10463 
27.47000 -0.30800 0.76200 36.60000 47.50000 2614.60808 
30.00000 -0.15400 0.72600 33.60000 45.80000 2425.09127 
30.00000 -0.19500 0.72800 31.40000 42.60000 2426.30791 
30.00000 -0.13300 0.47000 12.10000 25.70000 2427.75202 
22.53000 -0.20600 0.45700 9.74000 21.30000 2760.50151 
30.00000 -0.26800 0.47700 11.50000 23.90000 2752.38363 
30.00000 -0.25700 0.53000 15.30000 28.70000 2747.09957 
28.23000 -0.28900 0.53400 12.10000 22.60000 2725.63051 
30.00000 -0.38300 0.51200 20.90000 40.70000 2722.24650 
28.23000 -0.23200 0.54000 19.90000 37.00000 2740.08124 
30.00000 -0.25900 0.60600 19.50000 31.90000 2745.21360 
30.00000 -0.17200 0.59300 19.10000 32.00000 2751.94401 
30.00000 -0.23900 0.64800 19.60000 30.10000 2760.47242 
30.00000 -0.33200 0.68800 21.30000 30.70000 2762.11839 
30.00000 -0.30700 0.71700 23.70000 32.70000 2766.11544 
30.00000 -0.35500 0.74900 24.40000 32.20000 2772.32271 
30.00000 -0.36400 0.67600 20.30000 29.60000 2768.29303 
30.00000 -0.48800 0.63300 17.80000 27.80000 2767.86577 
27.97000 -0.17000 0.48600 12.10000 25.20000 2771.92770 
30.00000 -0.27200 0.47900 12.20000 25.80000 2832.26306 
30.00000 -0.26600 0.50000 14.50000 28.90000 2836.52187 
30.00000 -0.26600 0.55200 14.50000 26.10000 2844.32612 
30.00000 -0.16900 0.58000 13.90000 23.90000 2853.29546 
30.00000 -0.25500 0.57900 14.10000 24.20000 2863.30822 
30.00000 -0.17900 0.54200 18.80000 34.50000 2874.83612 
30.00000 -0.24800 0.61200 21.90000 35.60000 2880.52521 
30.00000 -0.26800 0.63400 18.60000 29.10000 2887.34373 
30.00000 -0.31500 0.59700 17.50000 29.10000 2885.30069 
30.00000 -0.15600 0.56400 15.50000 27.30000 2885.41372 
29.97000 -0.25800 0.55200 16.70000 30.80000 2885.46730 
30.00000 -0.24600 0.59800 18.80000 31.90000 2914.09466 
30.00000 -0.30200 0.59400 17.60000 30.40000 2916.91178 
30.00000 -0.22500 0.48600 15.70000 34.40000 2918.33960 
30.00000 -0.29600 0.53700 16.30000 32.00000 2918.40567 
30.00000 -0.33500 0.53800 14.60000 27.50000 2922.76125 
30.00000 -0.35200 0.54000 13.50000 25.00000 2938.50249 
30.00000 -0.41600 0.60100 12.20000 20.20000 2953.91749 
30.00000 -0.27400 0.57000 14.00000 24.10000 2972.44050 
16.87000 -0.23800 0.65200 19.10000 28.30000 2990.14250 
13.13000 -0.28900 0.69200 23.10000 32.80000 2705.27401 
30.00000 -0.37000 0.71700 22.20000 30.70000 2702.37716 
30.00000 -0.36600 0.71700 20.70000 28.70000 2702.76396 
30.00000 -0.38900 0.67200 19.70000 29.00000 2707.28126 
30.00000 -0.35200 0.63400 17.60000 27.60000 2710.61230 
14.01000 -0.32200 0.62500 12.80000 20.50000 2708.31291 
15.99000 -0.28400 0.64400 15.70000 24.30000 2821.23572 
30.00000 -0.25800 0.65900 19.40000 29.20000 2824.29215 
30.00000 -0.27300 0.62000 18.20000 29.10000 2822.37829 
29.51000 -0.09760 0.29100 6.68000 23.00000 2819.69131 
30.00000 -0.08800 0.32100 6.84000 21.60000 3060.18212 
30.00000 -0.12700 0.41200 8.61000 21.10000 3054.38499 
30.00000 -0.11500 0.41000 8.98000 21.80000 3048.90458 
30.00000 -0.17700 0.44400 12.20000 27.20000 3049.72766 
30.00000 -0.19600 0.49000 12.40000 25.40000 3051.71472 
24.41000 -0.36700 0.61300 10.30000 16.20000 3056.63811 
30.00000 -0.27900 0.56400 13.20000 23.20000 2968.84471 
30.00000 -0.27500 0.51800 11.90000 22.80000 2969.11429 
