Length Cht Slope R Lh NEAR_DIST 
30.00000 -0.06360 0.20500 3.04000 14.40000 3434.66830 
30.00000 -0.01880 0.17600 6.59000 37.20000 3427.64551 
23.30000 -0.03390 0.25700 9.39000 36.10000 3842.38578 
30.00000 -0.08570 0.29200 11.90000 40.50000 3842.64606 
30.00000 -0.06830 0.36400 12.90000 35.20000 3842.57262 
30.00000 -0.10100 0.40200 17.30000 43.00000 3848.62774 
30.00000 -0.11500 0.47200 16.10000 34.70000 3849.62225 
30.00000 -0.18600 0.48500 14.30000 29.10000 3858.65345 
30.00000 -0.10800 0.46900 17.30000 37.10000 3870.98344 
30.00000 -0.09470 0.41900 13.80000 32.90000 3889.98118 
30.00000 -0.15600 0.50000 17.70000 35.10000 3893.30762 
30.00000 -0.14900 0.56400 17.40000 30.60000 3889.61065 
30.00000 -0.13200 0.57800 18.50000 31.60000 3890.02197 
30.00000 -0.11100 0.54000 18.50000 34.20000 3886.59409 
30.00000 -0.06030 0.47800 15.70000 32.50000 3887.12565 
25.70000 -0.05480 0.30100 10.40000 35.00000 3888.13019 
30.00000 -0.05350 0.43200 10.10000 23.30000 3763.71751 
19.50000 -0.01760 0.19400 5.52000 28.50000 3768.85935 
10.50000 -0.05490 0.21100 6.39000 30.20000 3921.21381 
30.00000 -0.04620 0.23900 7.36000 30.60000 3921.36752 
30.00000 -0.05430 0.30300 7.63000 25.70000 3922.22849 
30.00000 -0.05540 0.25400 8.91000 34.90000 3909.73265 
28.40000 -0.08270 0.24900 9.64000 38.60000 4025.76925 
30.00000 -0.06240 0.29000 8.62000 29.80000 4028.41431 
30.00000 -0.06500 0.29400 10.40000 35.10000 4035.89077 
30.00000 -0.04020 0.32500 11.90000 37.60000 4037.29495 
30.00000 -0.10100 0.44200 10.40000 24.50000 4039.59923 
30.00000 -0.08630 0.56200 16.30000 28.80000 4045.36643 
24.44000 -0.14800 0.54900 17.20000 31.10000 3815.80621 
30.00000 -0.22100 0.59100 16.00000 26.80000 3804.14749 
30.00000 -0.19700 0.57300 16.40000 28.40000 3792.16882 
30.00000 -0.14200 0.45400 15.70000 34.30000 3779.78778 
13.16000 -0.02000 0.12700 2.40000 18.80000 3774.66950 
16.84000 -0.04590 0.14200 2.86000 19.70000 4102.19921 
30.00000 -0.05580 0.16500 3.74000 21.80000 4104.65037 
30.00000 -0.06820 0.21300 7.19000 34.60000 4107.96990 
30.00000 -0.07620 0.30900 7.85000 25.70000 4113.06918 
30.00000 -0.09550 0.36100 7.95000 23.40000 4124.09665 
30.00000 -0.10700 0.36400 8.05000 22.00000 4135.92194 
30.00000 -0.13100 0.39700 9.71000 24.30000 4143.63282 
30.00000 -0.12400 0.47400 12.20000 25.30000 4151.23730 
30.00000 -0.14900 0.51200 13.60000 26.70000 4161.67905 
30.00000 -0.13100 0.50700 14.30000 27.60000 4154.95835 
30.00000 -0.15500 0.48300 11.80000 24.30000 4151.04041 
18.56000 -0.02650 0.16800 7.29000 43.20000 4151.49412 
11.44000 -0.04640 0.18400 7.66000 41.90000 4174.12196 
30.00000 -0.12200 0.23800 4.88000 20.40000 4175.17651 
30.00000 -0.10100 0.23500 5.86000 24.50000 4176.99599 
30.00000 -0.07020 0.28400 7.68000 26.70000 4183.17994 
30.00000 -0.08130 0.35000 10.10000 29.00000 4191.33108 
30.00000 -0.09710 0.36800 11.40000 31.20000 4199.49483 
30.00000 -0.10700 0.38000 13.30000 35.40000 4212.87915 
30.00000 -0.08130 0.42900 11.90000 27.80000 4221.79575 
30.00000 -0.06670 0.39600 14.60000 37.20000 4225.04146 
30.00000 -0.05910 0.36600 12.00000 33.80000 4222.14967 
30.00000 -0.09000 0.33400 8.63000 26.30000 4217.93015 
23.86000 -0.10400 0.56500 15.40000 26.80000 4215.15548 
30.00000 -0.11900 0.54400 19.30000 35.40000 4077.88554 
30.00000 -0.10200 0.49000 15.60000 31.50000 4070.44634 
30.00000 -0.13200 0.53400 11.90000 22.00000 4067.96538 
30.00000 -0.16800 0.54800 11.90000 21.60000 4049.84625 
21.06000 -0.08290 0.17800 4.82000 26.70000 4047.35947 
30.00000 -0.08300 0.17100 5.42000 31.40000 4336.99033 
20.81000 -0.04010 0.21100 5.67000 26.50000 4338.09110 
30.00000 -0.09090 0.26800 8.39000 30.60000 4313.82877 
30.00000 -0.11500 0.34900 11.30000 32.20000 4305.43853 
30.00000 -0.09470 0.32000 10.30000 33.70000 4292.14366 
30.00000 -0.03690 0.27700 6.92000 24.70000 4284.67778 
30.00000 -0.06900 0.22900 5.57000 26.30000 4280.42319 
30.00000 -0.05250 0.19700 4.75000 24.60000 4276.13783 
30.00000 -0.04380 0.16100 3.59000 22.20000 4269.16425 
30.00000 -0.03170 0.13700 3.88000 28.30000 4259.73299 
30.00000 -0.04030 0.13200 3.03000 22.40000 4257.11411 
23.56000 -0.07630 0.27200 10.20000 43.50000 4256.19624 
30.00000 -0.07700 0.21300 7.11000 33.30000 4416.22287 
30.00000 -0.09560 0.20400 7.50000 37.50000 4395.50394 
30.00000 -0.09670 0.19900 5.83000 29.70000 4375.33320 
30.00000 -0.05130 0.16700 4.92000 28.90000 4359.79150 
30.00000 -0.06720 0.18700 7.71000 41.40000 4357.20581 
30.00000 -0.06390 0.26100 6.36000 23.20000 4342.81613 
11.40000 -0.03810 0.27900 8.57000 29.70000 4475.29714 
30.00000 -0.06570 0.29200 11.10000 38.00000 4463.64115 
16.85000 -0.06650 0.27100 8.98000 32.70000 4452.95079 
13.15000 -0.08430 0.29000 7.20000 25.70000 4447.49296 
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 
